date, pm25, pm10, o3, no2, so2, co
2019/7/11, 70, 49, , 10, 3, 6
2019/7/12, 122, 56, , 11, 3, 8
2019/7/13, 135, 40, , 9, 3, 7
2019/7/14, 77, 39, , 9, 3, 8
2019/7/15, 94, 40, , 9, 5, 8
2019/7/16, 77, 62, , 12, 4, 9
2019/7/17, 149, 72, , 13, 2, 10
2019/7/18, 166, 31, , 10, 3, 6
2019/7/19, 66, 35, , 13, 2, 5
2019/7/20, 80, 52, , 11, , 9
2019/7/21, 149, 57, , 17, 3, 11
2019/7/22, 130, 35, , 9, 2, 7
2019/7/23, 80, 45, , 13, 2, 8
2019/7/24, 94, 54, , 13, 1, 7
2019/7/25, 90, 68, , 11, 1, 10
2019/7/26, 118, 59, , 11, 1, 10
2019/7/27, 128, 52, , 9, 1, 13
2019/7/28, 122, 30, , 7, 1, 8
2019/7/29, 82, 31, , 7, 1, 6
2019/7/30, 71, 49, , 9, 2, 8
2019/7/31, 102, 50, , 10, 1, 7
2019/8/1, 102, 41, , 11, 1, 10
2019/8/2, 95, 29, , 8, 2, 9
2019/8/3, 68, 35, , 12, 1, 10
2019/8/4, 85, 44, , 9, 1, 8
2019/8/5, 94, 48, , 15, 1, 10
2019/8/6, 120, 45, , 12, 1, 9
2019/8/7, 91, 44, , 11, 2, 9
2019/8/8, 120, 31, , 9, 1, 5
2019/8/9, 75, 18, , 9, 1, 5
2019/8/10, 86, 16, , 8, 1, 8
2019/8/11, 44, 10, , 5, 1, 3
2019/8/12, 26, 15, , 8, 2, 4
2019/8/13, 20, 37, , 14, 3, 7
2019/8/14, 76, 49, , 13, 3, 7
2019/8/15, 114, 27, , 9, 2, 3
2019/8/16, 40, 30, , 13, 2, 4
2019/8/17, 31, 51, , 18, 5, 7
2019/8/18, 66, 57, , 22, 5, 11
2019/8/19, 92, 50, , 18, 4, 12
2019/8/20, 102, 38, , 20, 2, 11
2019/8/21, 93, 47, , 25, 3, 8
2019/8/22, 74, 42, , 19, 5, 7
2019/8/23, 74, 48, , 16, 5, 10
2019/8/24, 92, 45, , 13, 4, 8
2019/8/25, 83, 58, , 13, 3, 9
2019/8/26, 141, 43, , 14, 3, 7
2019/8/27, 110, 43, , 12, 4, 5
2019/8/28, 47, 22, , 11, 2, 4
2019/8/29, 20, 27, , 13, 7, 4
2019/8/30, 37, 45, , 16, 5, 6
2019/8/31, 63, 50, , 17, 8, 9
2019/9/1, 80, 60, , 12, 5, 8
2019/9/2, 117, 62, , 16, 6, 9
2019/9/3, 136, 48, , 19, 5, 6
2019/9/4, 83, 53, , 17, 5, 5
2019/9/5, 93, 69, , 15, 4, 6
2019/9/6, 134, 69, , 13, 4, 7
2019/9/7, 148, 69, , 14, 8, 11
2019/9/8, 133, 72, , 17, 5, 9
2019/9/9, 145, 38, , 13, 5, 7
2019/9/10, 68, 35, , 18, 7, 8
2019/9/11, 51, 41, , 16, 5, 10
2019/9/12, 60, 44, , 9, 2, 5
2019/9/13, 88, 46, , 16, 6, 8
2019/9/14, 91, 52, , 15, 6, 7
2019/9/15, 101, 40, , 12, 5, 5
2019/9/16, 57, 50, , 18, 4, 5
2019/9/17, 64, 45, , 13, 6, 4
2019/9/18, 62, 40, , 19, 5, 5
2019/9/19, 47, 71, , 28, 6, 10
2019/9/20, 128, 79, , 25, 6, 11
2019/9/21, 157, 64, , 18, 10, 13
2019/9/22, 151, 72, , 21, 5, 9
2019/9/23, 143, 61, , 22, 7, 7
2019/9/24, 101, 46, , 24, 4, 6
2019/9/25, 62, 54, , 22, 6, 8
2019/9/26, 88, 60, , 14, 3, 9
2019/9/27, 121, 68, , 17, 4, 9
2019/9/28, 149, 75, , 18, 6, 7
2019/9/29, 133, 66, , 15, 4, 8
2019/9/30, 116, 59, , 12, 4, 7
2019/4/1, 66, 48, , 17, 7, 8
2019/4/2, 85, 52, , 19, 5, 6
2019/4/3, 96, 113, , 15, 10, 10
2019/4/4, 176, 317, , 14, 4, 6
2019/4/5, 96, 77, , 16, 11, 10
2019/4/6, 77, 68, , 25, 7, 8
2019/4/7, 78, 48, , 16, 5, 7
2019/4/8, 40, 35, , 12, 4, 7
2019/4/9, 49, 36, , 14, 3, 7
2019/4/10, 86, 48, , 14, 8, 7
2019/4/11, 132, 56, , 16, 7, 9
2019/4/12, 157, 79, , 22, 8, 14
2019/4/13, 194, 54, , 10, 3, 4
2019/4/14, 63, 66, , 13, 8, 7
2019/4/15, 113, 67, , 16, 8, 10
2019/4/16, 159, 89, , 15, 8, 11
2019/4/17, 158, 165, , 17, 8, 8
2019/4/18, 115, 51, , 17, 5, 5
2019/4/19, 48, 55, , 26, 4, 7
2019/4/20, 92, 86, , 25, 8, 11
2019/4/21, 140, 77, , 20, 5, 9
2019/4/22, 164, 61, , 17, 4, 10
2019/4/23, 163, 52, , 14, 7, 6
2019/4/24, 71, 24, , 8, 3, 4
2019/4/25, 49, 36, , 9, 3, 4
2019/4/26, 88, 40, , 17, 4, 7
2019/4/27, 112, 41, , 16, 3, 7
2019/4/28, 135, 66, , 21, 5, 9
2019/4/29, 165, 72, , 20, 4, 8
2019/4/30, 120, 41, , 18, 3, 5
2019/5/1, 56, 53, , 14, 6, 6
2019/5/2, 79, 63, , 13, 8, 6
2019/5/3, 114, 66, , 13, 8, 8
2019/5/4, 129, 65, , 8, 4, 3
2019/5/5, 82, 42, , 13, 4, 4
2019/5/6, 60, 51, , 13, 6, 4
2019/5/7, 87, 70, , 17, 10, 7
2019/5/8, 148, 78, , 20, 6, 7
2019/5/9, 152, 67, , 15, 8, 8
2019/5/10, 135, 63, , 19, 6, 8
2019/5/11, 140, 277, , 20, 6, 16
2019/5/12, 173, 63, , 8, 4, 5
2019/5/13, 99, 106, , 18, 8, 9
2019/5/14, 139, 106, , 12, 6, 10
2019/5/15, 135, 74, , 10, 6, 9
2019/5/16, 146, 65, , 10, 3, 9
2019/5/17, 135, 31, , 8, 3, 6
2019/5/18, 53, 57, , 7, 1, 4
2019/5/19, 94, 49, , 11, 1, 3
2019/5/20, 49, 41, , 16, 2, 4
2019/5/21, 61, 52, , 21, 5, 6
2019/5/22, 93, 79, , 28, 5, 9
2019/5/23, 126, 67, , 8, 3, 4
2019/5/24, 80, 70, , 13, 5, 6
2019/5/25, 116, 64, , 10, 2, 8
2019/5/26, 122, 16, , 8, , 2
